timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3;nvidia_gpu_4;nvidia_gpu_5;nvidia_gpu_6;nvidia_gpu_7
1706284124.6345587;tokenizer;0.2643711566925049;14939;15586;16573;10174;10304;14942;16078;10417
1706284124.8989298;model load;100.40730047225952;5521656;5653598;5992327;5559394;5628123;5484562;5836854;5707245
1706284225.3062303;pipeline load;0.017711162567138672;0;0;6046;0;0;5562;0;0
1706284225.3239415;inference-0;98.2568302154541;6054041;6109019;6463538;6017316;6103878;6009146;6316135;5659016
1706284323.5807717;inference-1;90.21333050727844;5609176;5657853;5986377;5574013;5667266;5574669;5857625;5206773
1706284413.7941022;inference-2;90.3362557888031;5623621;5673051;6004243;5580885;5672324;5583322;5877952;5213021
1706284504.130358;inference-3;90.30936980247498;5621960;5667733;5998559;5582880;5678086;5593094;5875442;5211639
1706284594.4397278;inference-4;90.47938680648804;5629379;5676736;6013463;5586873;5692091;5593583;5887464;5223984
1706284684.9191146;inference-5;90.29554200172424;5622599;5667451;6002767;5584701;5682268;5590890;5878696;5212886
1706284775.2146566;inference-6;90.08859300613403;5606721;5659351;5989101;5572676;5672749;5583069;5865746;5195603
1706284865.3032496;inference-7;90.36745500564575;5631279;5677504;6004058;5582695;5689824;5589912;5880267;5218631
1706284955.6707046;inference-8;90.09285521507263;5608227;5657758;5989155;5572645;5674798;5580396;5875338;5201837
1706285045.7635598;inference-9;90.25042629241943;5621877;5671238;6000688;5577307;5677885;5588910;5873974;5207483
1706285150.1586883;tokenizer;8.127012252807617;405508;427627;455609;412368;421883;405212;437521;423801
1706285158.2857006;model load;54.42139410972595;2993831;3074166;3264659;3008928;3064685;2982220;3166961;3094277
1706285212.7070947;pipeline load;0.01801323890686035;0;0;0;5595;0;0;0;0
1706285212.725108;inference-0;96.08699870109558;5938029;5998769;6349019;5898919;6006582;5908619;6212031;5548323
1706285308.8121066;inference-1;90.61537647247314;5637510;5685910;6020678;5601901;5697334;5601354;5892525;5231318
1706285399.427483;inference-2;71.45585465431213;4427348;4482908;4738041;4408692;4494562;4416056;4649420;4121868
1706285470.8833377;inference-3;90.85573625564575;5657264;5709665;6048371;5616064;5716791;5626830;5915094;5250684
1706285561.739074;inference-4;90.98865413665771;5668675;5722497;6050976;5631429;5731419;5633734;5932332;5257418
1706285652.7277281;inference-5;90.4926540851593;5634061;5686721;6025560;5593631;5699785;5605895;5899596;5230668
1706285743.2203822;inference-6;90.63034749031067;5640957;5690051;6017974;5606141;5708033;5610080;5903811;5232295
1706285833.8507297;inference-7;90.47938990592957;5628755;5683153;6014031;5588218;5696107;5603522;5892547;5225200
1706285924.3301196;inference-8;90.58651947975159;5640741;5686993;6017506;5598482;5703309;5609333;5898042;5230760
1706286014.916639;inference-9;90.66544556617737;5639661;5691498;6020512;5598850;5701475;5609163;5897301;5231345
1706286117.5027926;tokenizer;0.28366541862487793;10016;15680;16682;15276;15613;15020;16285;10460
1706286117.786458;model load;46.57673931121826;2562920;2635885;2794230;2574577;2622101;2549631;2709804;2649426
1706286164.3631973;pipeline load;0.019617795944213867;0;0;0;0;0;5593;0;0
1706286164.3828151;inference-0;96.04310822486877;5937209;5989904;6347233;5900143;6000060;5900198;6209204;5544150
